NORAD ID: 26900	 Latitude: 1.9392555146335921 deg	 Longitude: -49.95737015167315 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 26948	 Latitude: 2.1641041781990493 deg	 Longitude: -83.52876088516427 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 27380	 Latitude: -0.3741832002290805 deg	 Longitude: -27.499186936934404 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 27426	 Latitude: 3.992767586899022 deg	 Longitude: -110.0713469864259 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 27438	 Latitude: 5.647457845389332 deg	 Longitude: -137.28454555809338 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 27445	 Latitude: 2.722780950168741 deg	 Longitude: -94.78248451333697 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 27513	 Latitude: -4.937116360439717 deg	 Longitude: 64.11012054838149 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 27566	 Latitude: -1.519678069328677 deg	 Longitude: -49.277966321524474 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 27632	 Latitude: 7.86900915725257 deg	 Longitude: -108.88611795077779 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 27691	 Latitude: 9.227270602928328 deg	 Longitude: -121.23736709622568 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 27718	 Latitude: -0.5412415297646889 deg	 Longitude: 147.5313990370672 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 27811	 Latitude: -2.469351234379923 deg	 Longitude: -10.123497807091097 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 27825	 Latitude: -7.538015027921309 deg	 Longitude: 44.163549796731154 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 27831	 Latitude: 0.6700626645639579 deg	 Longitude: 155.59430959764367 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 27875	 Latitude: -9.54159384421057 deg	 Longitude: 23.88378029818515 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 27954	 Latitude: 0.38806697301482523 deg	 Longitude: -149.99697891204312 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28089	 Latitude: 1.2022068588516281 deg	 Longitude: 163.3939630457381 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28094	 Latitude: -8.261936689699146 deg	 Longitude: 65.7567239090541 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28117	 Latitude: -4.992634805225709 deg	 Longitude: 75.92723569358216 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28184	 Latitude: -5.1806461300904 deg	 Longitude: 60.967063954196966 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28187	 Latitude: 4.637622385488838 deg	 Longitude: -139.2759334635913 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28194	 Latitude: 6.296819562781417 deg	 Longitude: 127.09763111601677 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28252	 Latitude: -0.0031954523193137123 deg	 Longitude: -111.05510386281222 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28358	 Latitude: -0.015744358307488923 deg	 Longitude: -0.9607583574243843 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28378	 Latitude: 2.4061205497333864 deg	 Longitude: -111.00481069735343 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28446	 Latitude: 0.005005294510428179 deg	 Longitude: -105.01791291028951 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28526	 Latitude: 0.7487569969892164 deg	 Longitude: -37.387182594283246 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28542	 Latitude: -2.739221794509528 deg	 Longitude: 28.930860787609692 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28626	 Latitude: 0.015282898975735789 deg	 Longitude: -86.37345044613542 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28628	 Latitude: 4.106896227438754 deg	 Longitude: 178.00365815541022 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28659	 Latitude: 0.028870221358763448 deg	 Longitude: -119.01850637006153 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28702	 Latitude: 2.229492604107307 deg	 Longitude: -88.64842235024994 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28786	 Latitude: 0.02149801100710484 deg	 Longitude: 119.45909829731987 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28868	 Latitude: 3.416456247063103 deg	 Longitude: -107.25220313820815 deg	 At 2025-07-06 00:00:00+00:00 UTC 
